aalib 1.4rc5-18
gzip 1.13-2
harfbuzz 8.4.0-1
harfbuzz-icu 8.4.0-1
haskell-aeson 2.1.2.1-44
haskell-aeson-pretty 0.8.10-4
haskell-ansi-terminal 0.11.4-66
haskell-ansi-wl-pprint 0.6.9-418
haskell-appar 0.1.8-14
haskell-asn1-encoding 0.9.6-230
haskell-asn1-parse 0.9.5-230
haskell-asn1-types 0.3.4-209
haskell-assoc 1.0.2-260
haskell-async 2.2.5-27
haskell-attoparsec 0.14.4-74
haskell-attoparsec-aeson 2.1.0.0-28
haskell-attoparsec-iso8601 1.1.0.0-50
haskell-auto-update 0.1.6-337
haskell-base-compat 0.12.2-2
haskell-base-compat-batteries 0.12.2-83
haskell-base-orphans 0.8.8.2-13
haskell-base-unicode-symbols 0.2.4.2-14
haskell-base16-bytestring 1.0.2.0-80
haskell-base64 0.4.2.4-69
haskell-base64-bytestring 1.2.1.0-104
haskell-basement 0.0.16-2
haskell-bifunctors 5.6-71
haskell-bitvec 1.1.3.0-91
haskell-blaze-builder 0.4.2.3-2
haskell-blaze-html 0.9.1.2-226
haskell-blaze-markup 0.8.3.0-10
haskell-boring 0.2.1-3
haskell-bsb-http-chunked 0.0.0.4-381
haskell-byteorder 1.0.4-25
haskell-call-stack 0.4.0-184
haskell-case-insensitive 1.2.1.0-203
haskell-cassava 0.5.3.1-1
haskell-cereal 0.5.8.3-2
haskell-citeproc 0.8.1-98
haskell-cmdargs 0.10.22-2
haskell-colour 2.3.6-210
haskell-commonmark 0.2.4-3
haskell-commonmark-extensions 0.2.3.5-29
haskell-commonmark-pandoc 0.2.1.3-76
haskell-comonad 5.0.8-255
haskell-conduit 1.3.5-49
haskell-conduit-extra 1.3.6-130
haskell-constraints 0.13.4-49
haskell-contravariant 1.5.5-4
haskell-cookie 0.4.6-2
haskell-crypton 0.34-11
haskell-crypton-connection 0.3.2-7
haskell-crypton-x509 1.7.6-28
haskell-crypton-x509-store 1.6.9-28
haskell-crypton-x509-system 1.6.7-28
haskell-crypton-x509-validation 1.6.12-28
haskell-data-array-byte 0.1.0.1-55
haskell-data-default 0.7.1.1-306
haskell-data-default-class 0.1.2.0-25
haskell-data-default-instances-containers 0.0.1-37
haskell-data-default-instances-dlist 0.0.1-319
haskell-data-default-instances-old-locale 0.0.1-37
haskell-data-fix 0.3.2-102
haskell-dec 0.0.5-5
haskell-digest 0.0.1.7-2
haskell-digits 0.3.1-21
haskell-distributive 0.6.2.1-209
haskell-dlist 1.0-241
haskell-doclayout 0.4.0.1-29
haskell-doctemplates 0.11-68
haskell-easy-file 0.2.5-21
haskell-emojis 0.1.3-10
haskell-erf 2.0.0.0-25
haskell-fast-logger 3.1.2-70
haskell-file-embed 0.0.15.0-2
haskell-foldable1-classes-compat 0.1-71
haskell-generically 0.1.1-2
haskell-ghc-bignum-orphans 0.1.1-2
haskell-glob 0.10.2-90
haskell-gridtables 0.1.0.0-48
haskell-haddock-library 1.11.0-13
haskell-hashable 1.4.3.0-46
haskell-hourglass 0.2.12-246
haskell-hslua 2.3.0-47
haskell-hslua-aeson 2.3.0.1-29
haskell-hslua-classes 2.3.0-48
haskell-hslua-core 2.3.1-42
haskell-hslua-list 1.1.1-55
haskell-hslua-marshalling 2.3.0-43
haskell-hslua-module-doclayout 1.1.0-53
haskell-hslua-module-path 1.1.0-48
haskell-hslua-module-system 1.1.0.1-22
haskell-hslua-module-text 1.1.0.1-22
haskell-hslua-module-version 1.1.0-48
haskell-hslua-module-zip 1.1.1-17
haskell-hslua-objectorientation 2.3.0-44
haskell-hslua-packaging 2.3.1-9
haskell-hslua-repl 0.1.2-8
haskell-hslua-typing 0.1.1-2
haskell-http-api-data 0.5.1-51
haskell-http-client 0.7.15-20
haskell-http-client-tls 0.3.6.3-54
haskell-http-date 0.0.11-136
haskell-http-media 0.8.1.1-14
haskell-http-types 0.12.4-3
haskell-http2 4.1.0-17
haskell-hunit 1.6.2.0-227
haskell-indexed-traversable 0.1.3-63
haskell-indexed-traversable-instances 0.1.1.2-41
haskell-integer-logarithms 1.0.3.1-7
haskell-iproute 1.7.12-82
haskell-ipynb 0.2-136
haskell-isocline 1.0.9-2
haskell-jira-wiki-markup 1.5.1-22
haskell-juicypixels 3.3.8-31
haskell-lexer 1.1.1-2
haskell-libyaml 0.1.2-346
haskell-lpeg 1.0.4-26
haskell-lua 2.3.2-6
haskell-memory 0.18.0-8
haskell-mime-types 0.1.2.0-2
haskell-mmorph 1.2.0-6
haskell-monad-control 1.0.3.1-102
haskell-mono-traversable 1.0.17.0-4
haskell-network 3.1.4.0-20
haskell-network-byte-order 0.1.7-2
haskell-network-uri 2.6.4.2-31
haskell-old-locale 1.0.0.7-31
haskell-old-time 1.1.0.4-2
haskell-onetuple 0.3.1-75
haskell-only 0.1-23
haskell-optparse-applicative 0.17.1.0-29
haskell-ordered-containers 0.2.3-2
haskell-pandoc 3.1.8-21
haskell-pandoc-lua-engine 0.2.1.2-7
haskell-pandoc-lua-marshal 0.2.3-4
haskell-pandoc-server 0.1.0.5-24
haskell-pandoc-types 1.23.1-18
haskell-pem 0.2.4-286
haskell-pretty-show 1.10-15
haskell-prettyprinter 1.7.1-162
haskell-primitive 0.7.4.0-111
haskell-psqueues 0.2.8.0-10
haskell-quickcheck 2.14.3-64
haskell-random 1.2.1.2-8
haskell-recv 0.1.0-30
haskell-regex-base 0.94.0.2-3
haskell-regex-tdfa 1.3.2.2-41
haskell-resourcet 1.2.6-51
haskell-safe 0.3.21-5
haskell-safe-exceptions 0.1.7.4-21
haskell-scientific 0.3.7.0-113
haskell-semialign 1.2.0.1-157
haskell-semigroupoids 5.3.7-139
haskell-servant 0.20.1-9
haskell-servant-server 0.20-16
haskell-sha 1.6.4.4-20
haskell-simple-sendfile 0.2.32-32
haskell-singleton-bool 0.1.7-3
haskell-skylighting 0.14-11
haskell-skylighting-core 0.14-10
haskell-skylighting-format-ansi 0.1-117
haskell-skylighting-format-blaze-html 0.1.1.2-4
haskell-skylighting-format-context 0.1.0.2-82
haskell-skylighting-format-latex 0.1-117
haskell-socks 0.6.1-237
haskell-some 1.0.5-2
haskell-sop-core 0.5.0.2-2
haskell-split 0.2.5-6
haskell-splitmix 0.1.0.5-22
haskell-statevar 1.2.2-3
haskell-streaming-commons 0.2.2.6-26
haskell-strict 0.4.0.1-234
haskell-string-conversions 0.4.0.1-171
haskell-syb 0.7.2.4-8
haskell-tagged 0.8.8-2
haskell-tagsoup 0.14.8-226
haskell-temporary 1.3-585
haskell-texmath 0.12.8.4-12
haskell-text-conversions 0.3.1.1-63
haskell-text-icu 0.8.0.5-1
haskell-text-short 0.1.5-79
